wine_no,designation,winery
0,Vulkà Bianco,Nicosia
1,Avidagos,Quinta dos Avidagos
2,,Rainstorm
3,Reserve Late Harvest,St. Julian
4,Vintner's Reserve Wild Child Block,Sweet Cheeks
5,Ars In Vitro,Tandem
6,Belsito,Terre di Giurfo
7,,Trimbach
8,Shine,Heinz Eifel
9,Les Natures,Jean-Baptiste Adam
10,Mountain Cuvée,Kirkland Signature
11,,Leon Beyer
12,,Louis M. Martini
13,Rosso,Masseria Setteporte
14,,Mirassou
15,Devon,Richard Böcking
16,Felix,Felix Lavaque
17,Winemaker Selection,Gaucho Andino
18,Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,Pradorey
60865,,Redtree
19,,Quiévremont
20,Vin de Maison,Quiévremont
21,,Acrobat
22,Ficiligno,Baglio di Pianetto
23,Signature Selection,Bianchi
24,Aynat,Canicattì
25,King Ridge Vineyard,Castello di Amorosa
26,Dalila,Stemmari
27,,Stemmari
28,Mascaria Barricato,Terre di Giurfo
29,,Clarksburg Wine Company
30,Nouveau,Domaine de la Madone
31,Calanìca Nero d'Avola-Merlot,Duca di Salaparuta
32,Calanìca Grillo-Viognier,Duca di Salaparuta
33,Puma Springs Vineyard,Envolve
34,,Envolve
35,Hyland,Erath
36,Estate,Estampa
37,Missoni,Feudi del Pisciotto
38,I Tratturi,Feudi di San Marzano
39,Purato Made With Organic Grapes,Feudo di Santa Tresa
40,,Feudo Montoni
41,,Hawkins Cellars
42,Nouveau,Henry Fessy
43,,Robert Hall
44,,Sundance
45,#SocialSecret,Tarara
46,Sallier de la Tour,Tasca d'Almerita
47,,The White Knight
48,,Trump
49,Eté Indien,Vignerons de Bel Air
50,Scialo,Viticultori Associati Canicatti
51,Gran Reserva,Casa Silva
52,Dolia,Cantine di Dolianova
53,La Fleur d'Amélie,Château de Sours
54,Rosso,Corvo
55,Estate Bottled,RustRidge
56,,Souverain
57,Sallier de la Tour,Tasca d'Almerita
58,Reserve,Tres Palacios
59,,Mellisoni
60,Estate,Okapi
61,Prugneto,Podere dal Nespoli
62,Alder Ridge Vineyard,Ram
63,Brut Rosé,Roland Champion
64,Golden Horn,Sevtap
65,,Simonnet-Febvre
66,,Vignerons des Terres Secrètes
67,Inspired,Basel Cellars
68,,Cocobon
69,Brut Rosé,Collet
70,,Drumheller
71,Old Vine,Eco Terreno
72,Daginestra,Grifalco
73,Bella Vetta Vineyard,Hindsight
74,Estate Grown,Hindsight
75,The Cypher,Mulvane Wine Co.
76,,Schmitt Söhne
77,Made With Organic Grapes,Yalumba
78,Rosé of,Z'IVO
79,Bridão,Adega Cooperativa do Cartaxo
80,Special Release Reserva,Aresti
81,,Spyro
82,La Réserve,Lionel Osmin & Cie
83,Jester Sangiovese,Mitolo
84,Classic,Napa Cellars
85,Undone Dry,P.J. Valckenberg
86,,Palencia
87,Blau Vineyards,Passaggio
88,Le Mandorle Riserva,Poggio Alloro
89,,Fattoria Sardi
90,Siena,Ferrari-Carano
91,,Folie à Deux
