wine_no,taster_name,taster_twitter
0,Kerin O’Keefe,@kerinokeefe
1,Roger Voss,@vossroger
2,Paul Gregutt,@paulgwine 
3,Alexander Peartree,
4,Paul Gregutt,@paulgwine 
5,Michael Schachner,@wineschach
6,Kerin O’Keefe,@kerinokeefe
7,Roger Voss,@vossroger
8,Anna Lee C. Iijima,
9,Roger Voss,@vossroger
10,Virginie Boone,@vboone
11,Roger Voss,@vossroger
12,Virginie Boone,@vboone
13,Kerin O’Keefe,@kerinokeefe
14,Matt Kettmann,@mattkettmann
15,Anna Lee C. Iijima,
16,Michael Schachner,@wineschach
17,Michael Schachner,@wineschach
18,Michael Schachner,@wineschach
60865,,
19,Alexander Peartree,
20,Alexander Peartree,
21,Paul Gregutt,@paulgwine 
22,Kerin O’Keefe,@kerinokeefe
23,Matt Kettmann,@mattkettmann
24,Kerin O’Keefe,@kerinokeefe
25,Virginie Boone,@vboone
26,Kerin O’Keefe,@kerinokeefe
27,Kerin O’Keefe,@kerinokeefe
28,Kerin O’Keefe,@kerinokeefe
29,Virginie Boone,@vboone
30,Roger Voss,@vossroger
31,,
32,,
33,,
34,,
35,Paul Gregutt,@paulgwine 
36,Michael Schachner,@wineschach
37,,
38,,
39,,
40,,
41,Paul Gregutt,@paulgwine 
42,Roger Voss,@vossroger
43,,
44,Michael Schachner,@wineschach
45,,
46,,
47,,
48,,
49,Roger Voss,@vossroger
50,,
51,Michael Schachner,@wineschach
52,,
53,Roger Voss,@vossroger
54,,
55,,
56,Virginie Boone,@vboone
57,,
58,Michael Schachner,@wineschach
59,Sean P. Sullivan,@wawinereport
60,Virginie Boone,@vboone
61,Kerin O’Keefe,@kerinokeefe
62,Sean P. Sullivan,@wawinereport
63,Roger Voss,@vossroger
64,Matt Kettmann,@mattkettmann
65,Roger Voss,@vossroger
66,Roger Voss,@vossroger
67,Sean P. Sullivan,@wawinereport
68,Jim Gordon,@gordone_cellars
69,Roger Voss,@vossroger
70,Sean P. Sullivan,@wawinereport
71,Virginie Boone,@vboone
72,Kerin O’Keefe,@kerinokeefe
73,Virginie Boone,@vboone
74,Virginie Boone,@vboone
75,Virginie Boone,@vboone
76,Anna Lee C. Iijima,
77,Joe Czerwinski,@JoeCz
78,Paul Gregutt,@paulgwine 
79,Roger Voss,@vossroger
80,Michael Schachner,@wineschach
81,Michael Schachner,@wineschach
82,Roger Voss,@vossroger
83,Joe Czerwinski,@JoeCz
84,Virginie Boone,@vboone
85,Anna Lee C. Iijima,
86,Sean P. Sullivan,@wawinereport
87,Virginie Boone,@vboone
88,Kerin O’Keefe,@kerinokeefe
89,Kerin O’Keefe,@kerinokeefe
90,Virginie Boone,@vboone
91,Virginie Boone,@vboone
92,Virginie Boone,@vboone
93,Anne Krebiehl MW,@AnneInVino
94,Sean P. Sullivan,@wawinereport
95,Roger Voss,@vossroger
96,Roger Voss,@vossroger
97,Anna Lee C. Iijima,
98,Kerin O’Keefe,@kerinokeefe
99,Virginie Boone,@vboone
6304,Roger Voss,@vossroger
100,Anna Lee C. Iijima,
101,Anna Lee C. Iijima,
102,Anna Lee C. Iijima,
103,Michael Schachner,@wineschach
104,Kerin O’Keefe,@kerinokeefe
105,Kerin O’Keefe,@kerinokeefe
106,Kerin O’Keefe,@kerinokeefe
107,Kerin O’Keefe,@kerinokeefe
108,Matt Kettmann,@mattkettmann
